Dockingscore,SMILES
-7.69,O=C(OC(C)(C)C)NC1C[NH+](C(C(=O)[O-])c2ccc(C)cc2)CCC1
-7.55,O=C([O-])C(NC(=O)C1CN(CC[NH+](C)C)C(=O)C1)Cc1ccccc1
-7.54,O=C([O-])C(NC(=O)C1CN(CCOC)C(=O)C1)Cc1ccccc1
-7.53,O=C([O-])C(N=CCC(=O)c1ccc(CC)cc1)Cc1ccccc1
-7.50,O=C([O-])C(NC(=O)CNC(=O)c1ccccc1)Cc1ccccc1
-7.48,O=C([O-])Cn1nc(NC(=O)C2C(c3cc4OCCOc4cc3)C2)nc1
-7.46,O=C([O-])C(CNC(=O)C(NC(=O)c1occc1)C)CC(C)C
-7.45,O=C([O-])C(NC(=O)C(O)C(O)C(O)C(O)CO)Cc1ccccc1
-7.42,O=C([O-])C(NC(=O)C1CN(CC2CC2)C(=O)C1)(Cc1ccccc1)C
-7.39,O=C([O-])C(NC(=O)C(NC(=O)c1sccc1)C)Cc1ccccc1
-7.39,O=C(OC(C)(C)C)NCC#CCC(NC(=O)C)C(=O)[O-]
-7.38,O=C([O-])C(NC(=O)C1C[NH+](CC(C)C)CC1)Cc1ccccc1
-7.36,O=C([O-])C(CNC(=O)C1CC(=O)N(C)CC1)Cc1cc(C)ccc1
-7.36,O=C([O-])CCC(=O)NCC1CC(CNC(=O)CCC(=O)[O-])CCC1
-7.36,O=C([O-])C(CCC)n1nc(NC(=O)c2noc3c2CCCC3)cc1
-7.36,Clc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)cccc1
-7.36,Clc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)cccc1
-7.36,Clc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)cccc1
-7.36,Clc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)cccc1
-7.35,O=C([O-])C(N=CCC(=O)c1ccccc1)Cc1c2c([nH]c1)cccc2
-7.34,O=C([O-])CCc1cc(NC(=O)c2onc(C(C)C)c2)ccc1
-7.33,O=C([O-])c1c(N(C)C2CCCCC2)nn(-c2ccc(OCC)cc2)n1
-7.33,O=C(OC(C)(C)C)NC1C[NH+](C(C(=O)[O-])c2ccncc2)CCC1
-7.33,O=C([O-])C(N1C(=O)C(NC(=O)C2COCCC2)CC1)c1ccccc1
-7.33,O=C([O-])C(NC(=O)CCc1onc(OC)c1)Cc1ccccc1
-7.32,Fc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)ccc(F)c1
-7.32,Fc1c(F)cccc1C1C(C(=O)Nc2nn(CC(=O)[O-])cc2)C1
-7.32,O=C([O-])Cn1nc(NC(=O)c2ccc(CN3C(=O)CCC3)cc2)cc1
-7.32,S(=O)(=O)(N1CCOCC1)c1cc(NC(=O)c2nccnc2)ccc1
-7.31,O=C(OCc1ccccc1)NC(C(=O)[O-])Cc1c2c([nH]c1)cccc2
-7.31,Fc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)ccc(F)c1
-7.31,O=C([O-])C(NC(=O)CCCCCCCCC)C(O)c1ccccc1
-7.31,O=C([O-])C(N=CCC(=O)c1ccc(C)cc1)Cc1ccccc1
-7.31,O=[N+]([O-])c1ccc(C=CC(=O)NC(C(=O)[O-])Cc2ccccc2)cc1
-7.30,O=C([O-])C1(NC(=O)C2Oc3c(cccc3)C2)C(C)(C)C(OCC)C1
-7.29,O=C([O-])C(CNC(=O)c1cc(C#N)ccc1)Cc1cc(C)ccc1
-7.28,O=C(OC(C)(C)C)NC1C[NH+](C(C(=O)[O-])c2cscc2)CCC1
-7.28,O=C(NC(C(=O)[O-])Cc1ccccc1)NCCc1ccc(OC)cc1
-7.28,O=[N+]([O-])c1cc(C=CC(=O)NC(C(=O)[O-])Cc2ccccc2)ccc1
-7.27,O=C([O-])C(NC(=O)C1CCC(CNC(=O)C([NH3+])C(CC)C)CC1)C
-7.27,O=C([O-])C(NC(=O)CCC1(CCC#C)N=N1)CC1CCOCC1
-7.27,O=C([O-])Cn1nc(NC(=O)C2C(c3ccc(OC)cc3)C2)nc1
-7.26,O=C(OCc1ccccc1)NOC(C(=O)[O-])Cc1ccccc1
-7.26,O=C([O-])C(OC(=O)CNC(=O)c1ccccc1)Cc1ccccc1
-7.26,O=C([O-])Cn1nc(NC(=O)CC2OCCc3c2cccc3)cc1
-7.26,O=C([O-])Cc1nc(NC(=O)C2C(c3c(C)ccs3)C2)sc1
-7.26,O=C(OCc1ccccc1)NCC(=O)NC(C(=O)[O-])Cc1[nH]cnc1
-7.25,O=C(N1CC(c2oc([O-])nn2)CCC1)c1sc(C(C)(C)C)nc1
