ID,SMILES,Dockingscore
ZINC000095635331,O=C(OC(C)(C)C)NC1C[NH+](C(C(=O)[O-])c2ccc(C)cc2)CCC1,-7.6907382
ZINC000269077374,O=C([O-])C(NC(=O)C1CN(CC[NH+](C)C)C(=O)C1)Cc1ccccc1,-7.5490236
ZINC000170581146,O=C([O-])C(NC(=O)C1CN(CCOC)C(=O)C1)Cc1ccccc1,-7.5430021
ZINC000016161439,O=C([O-])C(N=CCC(=O)c1ccc(CC)cc1)Cc1ccccc1,-7.5280066
ZINC000002036138,O=C([O-])C(NC(=O)CNC(=O)c1ccccc1)Cc1ccccc1,-7.4978766
ZINC000647782386,O=C([O-])Cn1nc(NC(=O)C2C(c3cc4OCCOc4cc3)C2)nc1,-7.4764175
ZINC000175878736,O=C([O-])C(CNC(=O)C(NC(=O)c1occc1)C)CC(C)C,-7.4555678
ZINC000025663160,O=C([O-])C(NC(=O)C(O)C(O)C(O)C(O)CO)Cc1ccccc1,-7.4529095
ZINC000095424784,O=C([O-])C(NC(=O)C1CN(CC2CC2)C(=O)C1)(Cc1ccccc1)C,-7.4198618
ZINC000005920467,O=C([O-])C(NC(=O)C(NC(=O)c1sccc1)C)Cc1ccccc1,-7.3920851
ZINC000002560340,O=C(OC(C)(C)C)NCC#CCC(NC(=O)C)C(=O)[O-],-7.3917117
ZINC000236785871,O=C([O-])C(NC(=O)C1C[NH+](CC(C)C)CC1)Cc1ccccc1,-7.3805871
ZINC000123778614,O=C([O-])C(CNC(=O)C1CC(=O)N(C)CC1)Cc1cc(C)ccc1,-7.364172
ZINC000005600375,O=C([O-])CCC(=O)NCC1CC(CNC(=O)CCC(=O)[O-])CCC1,-7.3630643
ZINC000659186047,O=C([O-])C(CCC)n1nc(NC(=O)c2noc3c2CCCC3)cc1,-7.3619967
ZINC000122840093,Clc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)cccc1,-7.3613234
ZINC000122840466,Clc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)cccc1,-7.3603501
ZINC000122839888,Clc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)cccc1,-7.3573046
ZINC000122840302,Clc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)cccc1,-7.3571486
ZINC000017861001,O=C([O-])C(N=CCC(=O)c1ccccc1)Cc1c2c([nH]c1)cccc2,-7.3505702
ZINC000262384902,O=C([O-])CCc1cc(NC(=O)c2onc(C(C)C)c2)ccc1,-7.3360982
ZINC000256046313,O=C([O-])c1c(N(C)C2CCCCC2)nn(-c2ccc(OCC)cc2)n1,-7.3322034
ZINC000255983645,O=C(OC(C)(C)C)NC1C[NH+](C(C(=O)[O-])c2ccncc2)CCC1,-7.3300276
ZINC000365059828,O=C([O-])C(N1C(=O)C(NC(=O)C2COCCC2)CC1)c1ccccc1,-7.3295884
ZINC000252495528,O=C([O-])C(NC(=O)CCc1onc(OC)c1)Cc1ccccc1,-7.3257785
ZINC000122980013,Fc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)ccc(F)c1,-7.3243055
ZINC000122874191,Fc1c(F)cccc1C1C(C(=O)Nc2nn(CC(=O)[O-])cc2)C1,-7.3240528
ZINC000262908666,O=C([O-])Cn1nc(NC(=O)c2ccc(CN3C(=O)CCC3)cc2)cc1,-7.3184056
ZINC000007140967,S(=O)(=O)(N1CCOCC1)c1cc(NC(=O)c2nccnc2)ccc1,-7.3169494
ZINC000000080835,O=C(OCc1ccccc1)NC(C(=O)[O-])Cc1c2c([nH]c1)cccc2,-7.3144464
ZINC000122980206,Fc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)ccc(F)c1,-7.3136768
ZINC000100922138,O=C([O-])C(NC(=O)CCCCCCCCC)C(O)c1ccccc1,-7.3108468
ZINC000016291705,O=C([O-])C(N=CCC(=O)c1ccc(C)cc1)Cc1ccccc1,-7.3088131
ZINC000062715360,O=[N+]([O-])c1ccc(C=CC(=O)NC(C(=O)[O-])Cc2ccccc2)cc1,-7.3064919
ZINC000262842466,O=C([O-])C1(NC(=O)C2Oc3c(cccc3)C2)C(C)(C)C(OCC)C1,-7.2992177
ZINC000097018758,O=C([O-])C(CNC(=O)c1cc(C#N)ccc1)Cc1cc(C)ccc1,-7.2943769
ZINC000095869935,O=C(OC(C)(C)C)NC1C[NH+](C(C(=O)[O-])c2cscc2)CCC1,-7.2829757
ZINC000002104223,O=C(NC(C(=O)[O-])Cc1ccccc1)NCCc1ccc(OC)cc1,-7.2822104
ZINC000062715582,O=[N+]([O-])c1cc(C=CC(=O)NC(C(=O)[O-])Cc2ccccc2)ccc1,-7.2784495
ZINC000100775360,O=C([O-])C(NC(=O)C1CCC(CNC(=O)C([NH3+])C(CC)C)CC1)C,-7.2725868
ZINC000952878947,O=C([O-])C(NC(=O)CCC1(CCC#C)N=N1)CC1CCOCC1,-7.27034
ZINC000656851531,O=C([O-])Cn1nc(NC(=O)C2C(c3ccc(OC)cc3)C2)nc1,-7.2659593
ZINC000034598114,O=C(OCc1ccccc1)NOC(C(=O)[O-])Cc1ccccc1,-7.2646813
ZINC000002391056,O=C([O-])C(OC(=O)CNC(=O)c1ccccc1)Cc1ccccc1,-7.2599335
ZINC000122766003,O=C([O-])Cn1nc(NC(=O)CC2OCCc3c2cccc3)cc1,-7.2597771
ZINC000097035264,O=C([O-])Cc1nc(NC(=O)C2C(c3c(C)ccs3)C2)sc1,-7.258709
ZINC000001707444,O=C(OCc1ccccc1)NCC(=O)NC(C(=O)[O-])Cc1[nH]cnc1,-7.2564721
ZINC000407994687,O=C(N1CC(c2oc([O-])nn2)CCC1)c1sc(C(C)(C)C)nc1,-7.2534189
ZINC000261831479,S(=O)(=O)(N(C)C)c1c(C(=O)N2CC(C(=O)[O-])CCC2)scc1,-7.2531705
ZINC000016478673,Clc1ccc(C(=O)CC=NC(C(=O)[O-])Cc2ccccc2)cc1,-7.2500415
ZINC000016578258,S(=O)([O-])(=Nc1c(C(=O)OCC)cccc1)Cc1ccc(F)cc1,-7.2499518
ZINC000007813447,S(=O)(=O)(N1CCCCC1)c1cc(NC(=O)c2c(C)occ2)ccc1,-7.2455597
ZINC000225461341,O=C([O-])C(CNC(=O)Cc1cnc(C)cc1)Cc1cc(C)ccc1,-7.2429214
ZINC000095970546,O=C([O-])C(CNC(=O)CCC1OCCCC1)Cc1ccccc1,-7.2410121
