ZincID,Smiles,S
ZINC000071575522,O=C(N1C(C(=O)[O-])CN(c2ncccn2)CC1)c1c(C)nc(CC)o1,-8.192
ZINC000095499108,O=C([O-])CCN(C(=O)CC1c2c(cccc2)CC1)Cc1cnccc1,-7.952
ZINC000426486022,O=C([O-])C=1C(=O)C(C(=O)N(CCn2c(C)[nH+]cc2)C)=CN(C(C)C)C=1,-7.830
ZINC000000468088,O=C([O-])c1cc(NC(=O)C2OCCC2)cc(NC(=O)C2OCCC2)c1,-7.827
ZINC000492143340,O=C(N(CCC(=O)[O-])CC1OCCC1)C=Cc1cc2OCOc2cc1,-7.790
ZINC000091829988,O=C(N1CC(C(=O)[O-])C(c2cc(OC)ccc2)C1)c1c(C)nc(C)o1,-7.762
ZINC000089793894,Fc1ccc(-n2nc(C(=O)N(CC(=O)[O-])CC3OCCC3)cc2)cc1,-7.725
ZINC000263074856,O=C([O-])C(NC(=O)c1noc2c1CCCC2)c1cc2c(OCC2)cc1,-7.716
ZINC000033078757,O=C(Nc1cc(C(=O)[O-])c(N2CCN(C(=O)C)CC2)cc1)CCCC,-7.709
ZINC000299750025,O=C(N(CCC(=O)[O-])C1CCOCC1)C(Oc1c(C#N)cccc1)C,-7.701
ZINC000002041811,O=C([O-])C(NC(=O)C1CCCCC1)Cc1c(OC)c(C)c(OC)cc1,-7.697
ZINC000226752341,O=C([O-])CC(CC(=O)Nc1nn(CC)cc1)c1ccc(OC)cc1,-7.690
ZINC000262307561,O=C(NC1CCN(C(=O)C2(C(=O)[O-])CC2)CC1)NC1CCCCC1,-7.682
ZINC000864096816,O=C([O-])CCN(C(=O)c1nc2n(c1)CCC(C)C2)CC1OCCC1,-7.674
ZINC000097528979,O=C(N1CC(C(=O)[O-])CN(C2CC[NH+](CC)CC2)CC1)c1n[nH]cc1,-7.671
ZINC000365059828,O=C([O-])C(N1C(=O)C(NC(=O)C2COCCC2)CC1)c1ccccc1,-7.654
ZINC000097578524,O=C([O-])Cn1c(C(Oc2cc(OC)ccc2)C)nc(-c2occc2)n1,-7.652
ZINC000067846647,O=C([O-])c1nn(C)c2c1CN(C(=O)C1CN(CCC)C(=O)CC1)CC2,-7.649
ZINC000067909755,O=C([O-])C(NC(=O)CCCOCc1ccccc1)c1c(C)[nH]nc1C,-7.646
ZINC000097772886,O=C([O-])C1C[NH+](Cc2cnccc2)CCN(Cc2n(C)cc[nH+]2)C1,-7.646
ZINC000005422480,O=[N+]([O-])c1cc2c(N(CCCCC(=O)C)C(=O)C(C(=O)[O-])C2)cc1,-7.644
ZINC000952876323,O=C([O-])CCN(C(=O)CCC1(CCC#C)N=N1)C1CCOCC1,-7.641
ZINC000426439043,O=C([O-])C=1C(=O)C(C(=O)NCC(O)CC)=CN(C(C)C)C=1,-7.626
ZINC000067714422,O=C([O-])c1nn(CC(C)C)c2c1CC(N(Cc1onc(C)n1)C)CC2,-7.623
ZINC000426477130,O=C([O-])Cn1c(C2CN(C(=O)CCc3n(C)ncc3)CCC2)ccn1,-7.622
ZINC000071755364,O=C([O-])C1[NH+](Cc2c(n(C)nc2)C2CC2)CCN(c2ncccn2)C1,-7.613
ZINC000091988186,O=C(CCc1c(C)c(C)[nH]n1)N1CC(C(=O)[O-])(CC2CC2)CCC1,-7.609
ZINC000095511637,Fc1c(C(NC(=O)c2n(CC)nc(CC(C)C)c2)C(=O)[O-])cccc1,-7.608
ZINC000426632898,O=C([O-])C=1C(=O)C(C(=O)NCCN2C(=O)CCC2)=CN(C(C)C)C=1,-7.607
ZINC000426588833,O=C(N(Cc1n[nH]c(C(C)(C)C)c1)C)NC(C(=O)[O-])Cc1[nH]cnc1,-7.603
ZINC000072401296,O=C([O-])C1C(C)(C)C1C(=O)Nc1c(-c2[nH]c(C(C)C)nn2)cccc1,-7.601
ZINC000067804519,O=C([O-])c1nn(CC)c2c1CC([NH+](CCC1(O)CCCC1)C)CC2,-7.601
ZINC000299800036,O=C([O-])CC1C(c2nnn(C)c2)CN(C(=O)c2n[nH]c3c2CCC3)C1,-7.586
ZINC000034926545,O=C([O-])CN(CC(=O)N1CCN(C(=O)C)CC1)c1ccc(OC)cc1,-7.584
ZINC000299771772,O=C([O-])CC1C(c2nnn(C)c2)CN(C(=O)c2c(C)nc(C)o2)C1,-7.582
ZINC000226750554,O=C([O-])CC(CC(=O)NCC(=O)NC(C)C)c1ccc(OC)cc1,-7.576
ZINC000095499109,O=C([O-])CCN(C(=O)CC1c2c(cccc2)CC1)Cc1cnccc1,-7.575
ZINC000263120110,Fc1cc(C(O)CC(=O)N2C(CC(=O)[O-])CC(OC)C2)ccc1,-7.574
ZINC000582468928,O=C(OC(C)(C)C)N(C(CCC[NH+](CC)CC)C)CCC(=O)[O-],-7.571
ZINC000238085186,Fc1c(CCC(=O)N(CCC(=O)[O-])CC2OCCC2)cccc1,-7.571
ZINC000007260862,O=C(NC1C(=O)N2C(C(=O)[O-])=C(COC(=O)C)CSC12)CCC,-7.571
ZINC000299784212,O=C([O-])CC1C(c2nnn(C)c2)CN(C(=O)CCCn2nccc2)C1,-7.568
ZINC000256045607,O=C([O-])c1c(N2Cc3c(cccc3)CC2)nn(-c2c(C)cccc2)n1,-7.567
ZINC000097776168,O=C([O-])C1CN(Cc2occc2)CCN(c2[nH+]c(C)cc(NC)n2)C1,-7.566
ZINC000096480329,O=C(NC1C(C(=O)[O-])CCCCC1)Cc1ccc(-n2nccc2)cc1,-7.562
ZINC000091563225,O=C([O-])C(C)N1C(=O)CCC2(C1)CCN(c1ncc(OC)cn1)CC2,-7.561
ZINC000226752335,O=C([O-])CC(CC(=O)Nc1nn(CC)cc1)c1ccc(OC)cc1,-7.561
ZINC000072423911,O=C(N1C(C(=O)[O-])CC2(C1)CCN(C(=O)C1CC1)CC2)c1occc1,-7.559
ZINC000012403817,O=C(NCCCC)c1ccc(NC(=O)C2C(C(=O)[O-])CCCC2)cc1,-7.559
ZINC000100777801,O=C([O-])C(NC(=O)C1CCC(CNC(=O)C([NH3+])C)CC1)C(CC)C,-7.558
ZINC000092077159,S(CC(=O)N1CC(C(=O)[O-])C(c2cc(OC)ccc2)C1)CC1CC1,-7.552
ZINC000095502440,O=C([O-])C(NC(=O)C1CCN(C(=O)C2CC2)CC1)Cc1[nH]cnc1,-7.550
ZINC000952878947,O=C([O-])C(NC(=O)CCC1(CCC#C)N=N1)CC1CCOCC1,-7.550
ZINC000123778614,O=C([O-])C(CNC(=O)C1CC(=O)N(C)CC1)Cc1cc(C)ccc1,-7.549
ZINC000067868947,O=C(CCC1CCCC1)N1Cc2c(C(=O)[O-])nn(CC3CC3)c2CC1,-7.548
